医疗物品	医疗物品体积（吨）	医疗物品价值							
ms1	95	89							
ms2	75	59							
ms3	23	19							
ms4	73	43							
ms5	50	100							
ms6	22	72							
ms7	6	44							
ms8	57	16							
ms9	89	7							
ms10	98	64							
ms11	12	100							
ms12	63	23							
ms13	80	49							
ms14	84	80							
ms15	72	30							
ms16	61	69							
ms17	6	97							
ms18	87	53							
ms19	90	82							
ms20	18	13							
ms21	27	85							
ms22	26	34							
ms23	48	18							
ms24	73	50							
ms25	22	59							
ms26	19	75							
ms27	68	72							
ms28	33	79							
ms29	76	81							
ms30	49	87							
ms31	62	98							
ms32	88	92							
ms33	5	16							
ms34	51	74							
ms35	77	11							
ms36	40	95							
ms37	82	65							
ms38	4	46							
ms39	85	41							
ms40	78	1							
ms41	58	96							
ms42	44	35							
ms43	35	86							
ms44	92	88							
ms45	16	73							
ms46	45	31							
ms47	86	9							
ms48	98	90							
ms49	53	89							
ms50	30	39							
ms51	37	64							
ms52	36	99							
ms53	29	22							
ms54	10	5							
ms55	97	55							
ms56	7	77							
ms57	42	14							
ms58	41	57							
ms59	9	76							
ms60	94	91							
ms61	15	83							
ms62	43	78							
ms63	69	25							
ms64	47	19							
ms65	95	29							
ms66	57	10							
ms67	1	63							
ms68	39	84							
ms69	21	27							
ms70	65	42							
ms71	60	6							
ms72	11	45							
ms73	31	2							
ms74	67	38							
ms75	64	94							
ms76	100	68							
ms77	46	12							
ms78	50	66							
ms79	3	40							
ms80	20	54							
ms81	32	51							
ms82	14	60							
ms83	81	7							
ms84	2	36							
ms85	8	33							
ms86	93	37							
ms87	24	8							
ms88	66	21							
ms89	83	52							
ms90	28	71							
ms91	25	93							
ms92	71	56							
ms93	38	17							
ms94	70	62							
ms95	23	20							
ms96	79	3							
ms97	99	67							
ms98	17	15							
ms99	96	28							
ms100	54	24							
									
									
									
									
									
									
									
